,Well,Fluor,Target,Content,Sample,Cq,SQ
,G07,Cy5,E_covid,Unkn,,13.2518703377349,NaN
,G08,Cy5,E_covid,Unkn,,14.7606140268061,NaN
,G09,Cy5,E_covid,Unkn,,14.1960495605208,NaN
,G10,Cy5,E_covid,Unkn,,12.8365956999503,NaN
,G11,Cy5,E_covid,Unkn,,14.7706320402311,NaN
,G12,Cy5,E_covid,Unkn,,6.39171478639379,NaN
,H01,Cy5,E_covid,Unkn,,5.77293546418691,NaN
,H02,Cy5,E_covid,Unkn,,12.6986969579766,NaN
,H03,Cy5,E_covid,Unkn,,14.2981394730552,NaN
,H04,Cy5,E_covid,Unkn,,12.7063324552187,NaN
,H05,Cy5,E_covid,Unkn,,12.9221665880184,NaN
,H06,Cy5,E_covid,Unkn,,6.0392604909301,NaN
,H07,Cy5,E_covid,Unkn,,13.3481592967108,NaN
,H08,Cy5,E_covid,Unkn,,12.8820385887445,NaN
,H09,Cy5,E_covid,Unkn,,6.9039833240352,NaN
,H10,Cy5,E_covid,Unkn,,11.6624248039827,NaN
,H11,Cy5,E_covid,Unkn,,14.3299547840152,NaN
,H12,Cy5,E_covid,Unkn,,15.0594176585114,NaN
,A01,FAM,ORF1ab_covid,Neg Ctrl,,6.23176116029597,NaN
,A02,FAM,ORF1ab_covid,Unkn,,12.4755693762074,NaN
,A03,FAM,ORF1ab_covid,Unkn,,12.5443592275555,NaN
,A04,FAM,ORF1ab_covid,Unkn,,6.115304200885,NaN
,A05,FAM,ORF1ab_covid,Unkn,,14.471973311197,NaN
,A06,FAM,ORF1ab_covid,Unkn,,14.188990430019,NaN
,A07,FAM,ORF1ab_covid,Unkn,,5.64548837856755,NaN
,A08,FAM,ORF1ab_covid,Unkn,,14.8043768111404,NaN
,A09,FAM,ORF1ab_covid,Unkn,,14.9703546174421,NaN
,A10,FAM,ORF1ab_covid,Pos Ctrl,,12.7186563497324,NaN
,A11,FAM,ORF1ab_covid,Unkn,,14.6339663608619,NaN
,A12,FAM,ORF1ab_covid,Unkn,,12.5020967581988,NaN
,B01,FAM,ORF1ab_covid,Unkn,,12.9144070383053,NaN
,B02,FAM,ORF1ab_covid,Unkn,,12.4333225834586,NaN
,B03,FAM,ORF1ab_covid,Unkn,,15.1265395259634,NaN
,B04,FAM,ORF1ab_covid,Unkn,,12.9882250109912,NaN
,B05,FAM,ORF1ab_covid,Unkn,,5.83038946407518,NaN
,B06,FAM,ORF1ab_covid,Unkn,,12.9950376970143,NaN
,B07,FAM,ORF1ab_covid,Unkn,,14.453804596055,NaN
,B08,FAM,ORF1ab_covid,Unkn,,14.3615552648822,NaN
,B09,FAM,ORF1ab_covid,Unkn,,14.2771164372951,NaN
,B10,FAM,ORF1ab_covid,Unkn,,12.548482196358,NaN
,B11,FAM,ORF1ab_covid,Unkn,,12.4454141112029,NaN
,B12,FAM,ORF1ab_covid,Unkn,,14.6824370081766,NaN
,C01,FAM,ORF1ab_covid,Unkn,,12.3776867996625,NaN
,C02,FAM,ORF1ab_covid,Unkn,,13.2187062862846,NaN
,C03,FAM,ORF1ab_covid,Unkn,,12.4253394303714,NaN
,C04,FAM,ORF1ab_covid,Unkn,,14.2575599256286,NaN
,C05,FAM,ORF1ab_covid,Unkn,,6.36284300380073,NaN
,C06,FAM,ORF1ab_covid,Unkn,,14.5665161259175,NaN
,C07,FAM,ORF1ab_covid,Unkn,,14.3941584842286,NaN
,C08,FAM,ORF1ab_covid,Unkn,,14.3327180637505,NaN
,C09,FAM,ORF1ab_covid,Unkn,,5.51601560783785,NaN
,C10,FAM,ORF1ab_covid,Unkn,,12.5270211208453,NaN
,C11,FAM,ORF1ab_covid,Unkn,,12.9986595240246,NaN
,C12,FAM,ORF1ab_covid,Unkn,,12.6996847592536,NaN
,D01,FAM,ORF1ab_covid,Unkn,,12.7381010835565,NaN
,D02,FAM,ORF1ab_covid,Unkn,,6.03691993739193,NaN
,D03,FAM,ORF1ab_covid,Unkn,,12.6165042763058,NaN
,D04,FAM,ORF1ab_covid,Unkn,,13.2159375315044,NaN
,D05,FAM,ORF1ab_covid,Unkn,,14.3606705907943,NaN
,D06,FAM,ORF1ab_covid,Unkn,,14.3988502546949,NaN
,D07,FAM,ORF1ab_covid,Unkn,,6.33407244737805,NaN
,D08,FAM,ORF1ab_covid,Unkn,,6.0842115103783,NaN
,D09,FAM,ORF1ab_covid,Unkn,,14.6520776573268,NaN
,D10,FAM,ORF1ab_covid,Unkn,,14.0433912093108,NaN
,D11,FAM,ORF1ab_covid,Unkn,,5.85234391298267,NaN
,D12,FAM,ORF1ab_covid,Unkn,,12.8277600073471,NaN
,E01,FAM,ORF1ab_covid,Unkn,,12.5891493227776,NaN
,E02,FAM,ORF1ab_covid,Unkn,,14.576400798623,NaN
,E03,FAM,ORF1ab_covid,Unkn,,14.5981970936614,NaN
,E04,FAM,ORF1ab_covid,Unkn,,13.0097431480008,NaN
,E05,FAM,ORF1ab_covid,Unkn,,13.9726265325818,NaN
,E06,FAM,ORF1ab_covid,Unkn,,14.2280349186476,NaN
,E07,FAM,ORF1ab_covid,Unkn,,14.5371140988232,NaN
,E08,FAM,ORF1ab_covid,Unkn,,13.3075059934797,NaN
,E09,FAM,ORF1ab_covid,Unkn,,12.9887318470898,NaN
,E10,FAM,ORF1ab_covid,Unkn,,6.10670083581356,NaN
,E11,FAM,ORF1ab_covid,Unkn,,13.0422324219447,NaN
,E12,FAM,ORF1ab_covid,Unkn,,15.0135942325631,NaN
,F01,FAM,ORF1ab_covid,Unkn,,12.9095206188709,NaN
,F02,FAM,ORF1ab_covid,Unkn,,14.4238840095768,NaN
,F03,FAM,ORF1ab_covid,Unkn,,13.8290327046461,NaN
,F04,FAM,ORF1ab_covid,Unkn,,12.3885309076839,NaN
,F05,FAM,ORF1ab_covid,Unkn,,6.41731877078285,NaN
,F06,FAM,ORF1ab_covid,Unkn,,14.6897765645155,NaN
,F07,FAM,ORF1ab_covid,Unkn,,12.6265840334427,NaN
,F08,FAM,ORF1ab_covid,Unkn,,14.5629631794808,NaN
,F09,FAM,ORF1ab_covid,Unkn,,13.2618498694771,NaN
,F10,FAM,ORF1ab_covid,Unkn,,14.4328809909849,NaN
,F11,FAM,ORF1ab_covid,Unkn,,14.2381483534606,NaN
,F12,FAM,ORF1ab_covid,Unkn,,13.0128913554378,NaN
,G01,FAM,ORF1ab_covid,Unkn,,12.7354553002853,NaN
,G02,FAM,ORF1ab_covid,Unkn,,5.76864853137009,NaN
,G03,FAM,ORF1ab_covid,Unkn,,14.9971626589013,NaN
,G04,FAM,ORF1ab_covid,Unkn,,14.3279162005926,NaN
,G05,FAM,ORF1ab_covid,Unkn,,12.7669979494749,NaN
,G06,FAM,ORF1ab_covid,Unkn,,14.9957226092221,NaN
,G07,FAM,ORF1ab_covid,Unkn,,12.4640020082995,NaN
,G08,FAM,ORF1ab_covid,Unkn,,14.2272711401102,NaN
,G09,FAM,ORF1ab_covid,Unkn,,12.5114795936511,NaN
,G10,FAM,ORF1ab_covid,Unkn,,5.64757697271276,NaN
,G11,FAM,ORF1ab_covid,Unkn,,5.56624854748848,NaN
,G12,FAM,ORF1ab_covid,Unkn,,15.0429156604146,NaN
,H01,FAM,ORF1ab_covid,Unkn,,6.36143156540907,NaN
,H02,FAM,ORF1ab_covid,Unkn,,14.2567951177551,NaN
,H03,FAM,ORF1ab_covid,Unkn,,12.4143158881104,NaN
,H04,FAM,ORF1ab_covid,Unkn,,5.55886305007664,NaN
,H05,FAM,ORF1ab_covid,Unkn,,14.2422489106643,NaN
,H06,FAM,ORF1ab_covid,Unkn,,12.5696680961359,NaN
,H07,FAM,ORF1ab_covid,Unkn,,6.41871654101612,NaN
,H08,FAM,ORF1ab_covid,Unkn,,5.63595449955528,NaN
,H09,FAM,ORF1ab_covid,Unkn,,13.9938771180696,NaN
,H10,FAM,ORF1ab_covid,Unkn,,14.4796132345714,NaN
,H11,FAM,ORF1ab_covid,Unkn,,13.8505561011533,NaN
,H12,FAM,ORF1ab_covid,Unkn,,6.19125745397354,NaN
,A01,HEX,IEC,Neg Ctrl,,14.8145652645659,NaN
,A02,HEX,IEC,Unkn,,14.1834150347157,NaN
,A03,HEX,IEC,Unkn,,12.7170078530146,NaN
,A04,HEX,IEC,Unkn,,15.0952451332943,NaN
,A05,HEX,IEC,Unkn,,14.4016826864216,NaN
,A06,HEX,IEC,Unkn,,12.7628522053763,NaN
,A07,HEX,IEC,Unkn,,14.8777998419125,NaN
,A08,HEX,IEC,Unkn,,12.391634242137,NaN
,A09,HEX,IEC,Unkn,,5.23045538491204,NaN
,A10,HEX,IEC,Pos Ctrl,,12.7654285597686,NaN
,A11,HEX,IEC,Unkn,,14.2177341715759,NaN
,A12,HEX,IEC,Unkn,,12.572683364641,NaN
,B01,HEX,IEC,Unkn,,5.59479849834429,NaN
,B02,HEX,IEC,Unkn,,5.17948247050556,NaN
,B03,HEX,IEC,Unkn,,12.3043887106341,NaN
,B04,HEX,IEC,Unkn,,14.45117257661,NaN
,B05,HEX,IEC,Unkn,,15.3213333580946,NaN
,B06,HEX,IEC,Unkn,,12.1478425868146,NaN
,B07,HEX,IEC,Unkn,,14.2137535737308,NaN
,B08,HEX,IEC,Unkn,,12.5604256226906,NaN
,B09,HEX,IEC,Unkn,,12.2181301435781,NaN
,B10,HEX,IEC,Unkn,,5.90897652083452,NaN
,B11,HEX,IEC,Unkn,,5.49383761305189,NaN
,B12,HEX,IEC,Unkn,,12.4218293042752,NaN
,C01,HEX,IEC,Unkn,,5.17818038242058,NaN
,C02,HEX,IEC,Unkn,,14.1437555185832,NaN
,C03,HEX,IEC,Unkn,,14.1522891819035,NaN
,C04,HEX,IEC,Unkn,,5.57357148203946,NaN
,C05,HEX,IEC,Unkn,,13.1042208309338,NaN
,C06,HEX,IEC,Unkn,,14.3800803532058,NaN
,C07,HEX,IEC,Unkn,,5.08026578699967,NaN
,C08,HEX,IEC,Unkn,,14.4926776053869,NaN
,C09,HEX,IEC,Unkn,,6.06466555266559,NaN
,C10,HEX,IEC,Unkn,,14.2201686809299,NaN
,C11,HEX,IEC,Unkn,,13.6770293568526,NaN
,C12,HEX,IEC,Unkn,,14.1433950794096,NaN
,D01,HEX,IEC,Unkn,,12.3546571158587,NaN
,D02,HEX,IEC,Unkn,,14.9597955248695,NaN
,D03,HEX,IEC,Unkn,,14.6909582594997,NaN
,D04,HEX,IEC,Unkn,,12.1120508158,NaN
,D05,HEX,IEC,Unkn,,5.04532986020971,NaN
,D06,HEX,IEC,Unkn,,13.6624538879565,NaN
,D07,HEX,IEC,Unkn,,5.9235359023787,NaN
,D08,HEX,IEC,Unkn,,15.0263145742443,NaN
,D09,HEX,IEC,Unkn,,14.5730281213684,NaN
,D10,HEX,IEC,Unkn,,12.4275721522938,NaN
,D11,HEX,IEC,Unkn,,14.8706716420283,NaN
,D12,HEX,IEC,Unkn,,12.701514463426,NaN
,E01,HEX,IEC,Unkn,,14.1487939260208,NaN
,E02,HEX,IEC,Unkn,,14.1945336638772,NaN
,E03,HEX,IEC,Unkn,,12.7542998436064,NaN
,E04,HEX,IEC,Unkn,,12.4775492914842,NaN
,E05,HEX,IEC,Unkn,,6.06310636465214,NaN
,E06,HEX,IEC,Unkn,,12.0579846325772,NaN
,E07,HEX,IEC,Unkn,,14.4955417376028,NaN
,E08,HEX,IEC,Unkn,,5.61779062240467,NaN
,E09,HEX,IEC,Unkn,,12.6167204972632,NaN
,E10,HEX,IEC,Unkn,,15.3112080319389,NaN
,E11,HEX,IEC,Unkn,,15.0270407089897,NaN
,E12,HEX,IEC,Unkn,,12.7745583241872,NaN
,F01,HEX,IEC,Unkn,,14.0619120201338,NaN
,F02,HEX,IEC,Unkn,,14.0155977407225,NaN
,F03,HEX,IEC,Unkn,,14.1414812943825,NaN
,F04,HEX,IEC,Unkn,,12.2073289280966,NaN
,F05,HEX,IEC,Unkn,,15.1791829255999,NaN
,F06,HEX,IEC,Unkn,,12.0446625389553,NaN
,F07,HEX,IEC,Unkn,,12.3418550620254,NaN
,F08,HEX,IEC,Unkn,,5.45747109697644,NaN
,F09,HEX,IEC,Unkn,,14.1855235970984,NaN
,F10,HEX,IEC,Unkn,,5.2592594760632,NaN
,F11,HEX,IEC,Unkn,,13.7143668106426,NaN
,F12,HEX,IEC,Unkn,,14.1186245221724,NaN
,G01,HEX,IEC,Unkn,,14.1841575294568,NaN
,G02,HEX,IEC,Unkn,,5.29847710724115,NaN
,G03,HEX,IEC,Unkn,,14.3099076018816,NaN
,G04,HEX,IEC,Unkn,,14.7004051415678,NaN
,G05,HEX,IEC,Unkn,,12.847508752875,NaN
,G06,HEX,IEC,Unkn,,12.2477939326353,NaN
,G07,HEX,IEC,Unkn,,13.7708104120364,NaN
,G08,HEX,IEC,Unkn,,14.8724995643998,NaN
,G09,HEX,IEC,Unkn,,12.7745656452396,NaN
,G10,HEX,IEC,Unkn,,5.18761467016737,NaN
,G11,HEX,IEC,Unkn,,15.0880962855547,NaN
,G12,HEX,IEC,Unkn,,12.9470408481928,NaN
,H01,HEX,IEC,Unkn,,5.56882599801733,NaN
,H02,HEX,IEC,Unkn,,12.8045283636134,NaN
,H03,HEX,IEC,Unkn,,13.6388296184885,NaN
,H04,HEX,IEC,Unkn,,13.1456753304478,NaN
,H05,HEX,IEC,Unkn,,5.33201828826782,NaN
,H06,HEX,IEC,Unkn,,6.05072187245342,NaN
,H07,HEX,IEC,Unkn,,6.17942604376683,NaN
,H08,HEX,IEC,Unkn,,6.05579307322826,NaN
,H09,HEX,IEC,Unkn,,5.18919675714135,NaN
,H10,HEX,IEC,Unkn,,14.3151844219673,NaN
,H11,HEX,IEC,Unkn,,5.22735013171567,NaN
,H12,HEX,IEC,Unkn,,15.1250356338273,NaN
,A01,ROX,N_covid,Neg Ctrl,,13.0088329420978,NaN
,A02,ROX,N_covid,Unkn,,14.390460394085,NaN
,A03,ROX,N_covid,Unkn,,14.2129674795892,NaN
,A04,ROX,N_covid,Unkn,,15.0649350782561,NaN
,A05,ROX,N_covid,Unkn,,5.28399187060844,NaN
,A06,ROX,N_covid,Unkn,,13.7149254831651,NaN
,A07,ROX,N_covid,Unkn,,14.2303655079059,NaN
,A08,ROX,N_covid,Unkn,,5.2773912987549,NaN
,A09,ROX,N_covid,Unkn,,14.3527393151863,NaN
,A10,ROX,N_covid,Pos Ctrl,,14.1394588247582,NaN
,A11,ROX,N_covid,Unkn,,14.0737264975407,NaN
,A12,ROX,N_covid,Unkn,,5.15097699360687,NaN
,B01,ROX,N_covid,Unkn,,14.2708269229365,NaN
,B02,ROX,N_covid,Unkn,,14.4604426044784,NaN
,B03,ROX,N_covid,Unkn,,13.7043795034363,NaN
,B04,ROX,N_covid,Unkn,,5.44683921347642,NaN
,B05,ROX,N_covid,Unkn,,13.3506475974357,NaN
,B06,ROX,N_covid,Unkn,,5.9611163278154,NaN
,B07,ROX,N_covid,Unkn,,14.0891303047186,NaN
,B08,ROX,N_covid,Unkn,,5.1193834594757,NaN
,B09,ROX,N_covid,Unkn,,12.1348921910346,NaN
,B10,ROX,N_covid,Unkn,,14.5060338401957,NaN
,B11,ROX,N_covid,Unkn,,14.1613083779451,NaN
,B12,ROX,N_covid,Unkn,,14.6654440314454,NaN
,C01,ROX,N_covid,Unkn,,15.5105425823686,NaN
,C02,ROX,N_covid,Unkn,,12.9157671243913,NaN
,C03,ROX,N_covid,Unkn,,5.36940458961427,NaN
,C04,ROX,N_covid,Unkn,,14.8951619825218,NaN
,C05,ROX,N_covid,Unkn,,14.0940095400511,NaN
,C06,ROX,N_covid,Unkn,,5.67138196146796,NaN
,C07,ROX,N_covid,Unkn,,5.43164737250125,NaN
,C08,ROX,N_covid,Unkn,,5.56415778231482,NaN
,C09,ROX,N_covid,Unkn,,14.7077402985627,NaN
,C10,ROX,N_covid,Unkn,,14.5448394109245,NaN
,C11,ROX,N_covid,Unkn,,5.14327843657273,NaN
,C12,ROX,N_covid,Unkn,,14.0392430656552,NaN
,D01,ROX,N_covid,Unkn,,13.4615536488264,NaN
,D02,ROX,N_covid,Unkn,,15.2794949674347,NaN
,D03,ROX,N_covid,Unkn,,5.08721969496875,NaN
,D04,ROX,N_covid,Unkn,,14.3963969196251,NaN
,D05,ROX,N_covid,Unkn,,12.5625922699162,NaN
,D06,ROX,N_covid,Unkn,,5.56921044222805,NaN
,D07,ROX,N_covid,Unkn,,14.9902951879308,NaN
,D08,ROX,N_covid,Unkn,,12.8635067244116,NaN
,D09,ROX,N_covid,Unkn,,13.5982513594333,NaN
,D10,ROX,N_covid,Unkn,,13.1414635032646,NaN
,D11,ROX,N_covid,Unkn,,12.6743823729411,NaN
,D12,ROX,N_covid,Unkn,,15.2383514836213,NaN
,E01,ROX,N_covid,Unkn,,14.5669854863479,NaN
,E02,ROX,N_covid,Unkn,,15.2505012441659,NaN
,E03,ROX,N_covid,Unkn,,12.0818047160767,NaN
,E04,ROX,N_covid,Unkn,,12.1280329597708,NaN
,E05,ROX,N_covid,Unkn,,5.57834144353031,NaN
,E06,ROX,N_covid,Unkn,,14.7170663710574,NaN
,E07,ROX,N_covid,Unkn,,12.2001593133276,NaN
,E08,ROX,N_covid,Unkn,,13.1212203870422,NaN
,E09,ROX,N_covid,Unkn,,14.942760971895,NaN
,E10,ROX,N_covid,Unkn,,14.0249464229369,NaN
,E11,ROX,N_covid,Unkn,,12.6424081542249,NaN
,E12,ROX,N_covid,Unkn,,14.0480604278905,NaN
,F01,ROX,N_covid,Unkn,,5.31238695184394,NaN
,F02,ROX,N_covid,Unkn,,12.7451544774794,NaN
,F03,ROX,N_covid,Unkn,,14.8456121306192,NaN
,F04,ROX,N_covid,Unkn,,5.62172804150539,NaN
,F05,ROX,N_covid,Unkn,,13.7033423139227,NaN
,F06,ROX,N_covid,Unkn,,14.1103422083317,NaN
,F07,ROX,N_covid,Unkn,,14.8397671466493,NaN
,F08,ROX,N_covid,Unkn,,14.2999348640712,NaN
,F09,ROX,N_covid,Unkn,,13.6711737454651,NaN
,F10,ROX,N_covid,Unkn,,13.9955246976978,NaN
,F11,ROX,N_covid,Unkn,,14.575427454946,NaN
,F12,ROX,N_covid,Unkn,,14.1259662686924,NaN
,G01,ROX,N_covid,Unkn,,12.9656347362251,NaN
,G02,ROX,N_covid,Unkn,,14.4032722511197,NaN
,G03,ROX,N_covid,Unkn,,14.320689366961,NaN
,G04,ROX,N_covid,Unkn,,14.6872586446672,NaN
,G05,ROX,N_covid,Unkn,,14.3820776718974,NaN
,G06,ROX,N_covid,Unkn,,13.1138277878544,NaN
,G07,ROX,N_covid,Unkn,,12.7246434568182,NaN
,G08,ROX,N_covid,Unkn,,14.7793445443931,NaN
,G09,ROX,N_covid,Unkn,,14.1129707704915,NaN
,G10,ROX,N_covid,Unkn,,13.9970840913828,NaN
,G11,ROX,N_covid,Unkn,,5.90242819715112,NaN
,G12,ROX,N_covid,Unkn,,13.0041306105674,NaN
,H01,ROX,N_covid,Unkn,,15.3147853073974,NaN
,H02,ROX,N_covid,Unkn,,5.32535669106303,NaN
,H03,ROX,N_covid,Unkn,,12.7460889415479,NaN
,H04,ROX,N_covid,Unkn,,14.4323075818663,NaN
,H05,ROX,N_covid,Unkn,,12.7079224130579,NaN
,H06,ROX,N_covid,Unkn,,5.43341524628313,NaN
,H07,ROX,N_covid,Unkn,,14.2732643526644,NaN
,H08,ROX,N_covid,Unkn,,13.086039684016,NaN
,H09,ROX,N_covid,Unkn,,13.1700093400126,NaN
,H10,ROX,N_covid,Unkn,,14.3960314700563,NaN
,H11,ROX,N_covid,Unkn,,5.31345320000112,NaN
,H12,ROX,N_covid,Unkn,,5.10016326067388,NaN
